"brand","model","processor_brand","processor_name","processor_gnrtn","ram_gb","ram_type","ssd","hdd","os","os_bit","graphic_card_gb","weight","display_size","warranty","Touchscreen","msoffice","latest_price","old_price","discount","star_rating","ratings","reviews"
"DELL","Inspiron","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",2,"Casual","14",1,"Yes","Yes",799.9,979.46,18,4.6,23,2
"MSI","Modern","Intel","Core i5","10th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","14",0,"No","No",565.41,619.9,8,4.4,677,87
"Lenovo","ThinkBook","Intel","Core i5","11th","16 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","13",1,"No","Yes",649.9,1207.08,46,4.4,46,4
"DELL","Missing","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",1,"No","No",612.9,737.74,16,3,4,1
"Lenovo","Missing","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",1,"No","Yes",549.9,664.7,17,4.2,9,1
"Lenovo","ThinkBook","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","Missing",1,"No","Yes",599.9,1126.08,46,4.4,26,4
"HP","Pavilion","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","16",1,"No","Yes",725,809,10,4.4,40,3
"Lenovo","IdeaPad","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",4,"Gaming","Missing",0,"No","No",599.9,936.9,35,3.9,44,6
"Lenovo","Yoga","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","16",1,"Yes","Yes",879.9,1258.9,30,4.7,28,6
"HP","14s","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","Missing",0,"No","No",579.9,631.79,8,4.3,1541,123
"DELL","Inspiron","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","16",1,"No","Yes",694.9,697.36,0,4.2,72,7
"Lenovo","Thinkbook","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","16",3,"Yes","Yes",689.9,1591.8,56,4.6,44,8
"Lenovo","Missing","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","32-bit",0,"Casual","16",1,"No","Yes",779.9,803.66,2,4.3,17,2
"ASUS","ZenBook","Intel","Core i5","11th","8 GB GB","LPDDR4X","512 GB","0 GB","Windows","64-bit",0,"Casual","16",1,"Yes","No",1059.9,1409.9,24,4.4,59,11
"DELL","Vostro","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","Missing",1,"No","Yes",554.9,807.11,31,4.1,337,27
"Lenovo","IdeaPad","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","16",1,"No","Yes",699.9,1048.9,33,4.6,10,2
"ASUS","Zenbook","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","Missing",1,"Yes","Yes",849.9,1169.9,27,4.2,10,2
"DELL","Inspiron","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","Missing",0,"No","No",599.9,761.43,21,3.8,31,7
